term,M1_temp,M1_se,M2_weekday,M2_se,M3_weather,M3_se,M4_season,M4_se
Intercept,15805.1***,(262.2),-62692.0***,(9799.9),37120.5***,(1048.0),-63328.6***,(9366.9)
temp,1008.7***,(20.3),551.6***,(30.1),799.3***,(20.5),879.1***,(64.3)
precip,,,-368.8***,(30.6),-237.7***,(20.0),-182.0***,(17.2)
humidity,,,-4.4,(11.7),-182.6***,(10.7),,
windspeed,,,-148.9***,(11.9),-210.2***,(11.8),-158.1***,(11.5)
C(post_2023)[T.True],,,,,,,-4713.0***,(197.8)
I(precip ** 2),,,2.0***,(0.3),,,,
solarradiation,,,43.2***,(1.8),,,,
visibility,,,140.6***,(8.8),,,99.0***,(8.1)
sealevelpressure,,,78.0***,(9.3),,,78.6***,(9.1)
C(season_name)[T.Spring],,,,,,,-4194.5***,(335.3)
C(season_name)[T.Summer],,,,,,,-2921.5***,(378.7)
C(season_name)[T.Winter],,,,,,,-3345.5***,(278.9)
precipcover,,,,,,,-38.3***,(7.3)
feelslikemin,,,,,,,-282.2***,(52.2)
uvindex,,,,,,,769.6***,(56.7)
daylight,,,,,,,389.6***,(76.0)
C(month_name)[T.Dec],,,-1240.6***,(406.3),,,,
C(month_name)[T.Nov],,,3602.5***,(419.9),,,,
C(month_name)[T.Oct],,,3886.7***,(461.5),,,,
C(day_of_week)[T.Tue],,,2314.4***,(309.8),2398.9***,(362.9),2382.9***,(299.0)
C(day_of_week)[T.Wed],,,2546.9***,(309.7),2496.7***,(362.9),2541.4***,(299.0)
C(day_of_week)[T.Thu],,,2481.9***,(309.8),2490.3***,(362.9),2479.8***,(299.1)
C(day_of_week)[T.Fri],,,801.4***,(309.8),824.8**,(362.9),771.4***,(299.1)
C(day_of_week)[T.Sat],,,-1298.4***,(309.8),-1318.8***,(363.0),-1314.0***,(299.1)
C(day_of_week)[T.Sun],,,-3640.0***,(309.8),-3520.4***,(363.0),-3645.6***,(299.1)
C(month_name)[T.Feb],,,379.5,(416.4),,,,
C(month_name)[T.Mar],,,-443.9,(427.4),,,,
C(month_name)[T.Apr],,,-1824.4***,(485.5),,,,
C(month_name)[T.May],,,-184.4,(535.4),,,,
C(month_name)[T.Jun],,,666.5,(600.7),,,,
C(month_name)[T.Jul],,,808.4,(626.3),,,,
C(month_name)[T.Aug],,,311.2,(592.4),,,,
C(month_name)[T.Sep],,,2623.4***,(527.2),,,,
R-squared,0.4,,0.6,,0.5,,0.7,
R-squared Adj.,0.4,,0.6,,0.5,,0.7,
AIC,"90,483",,"87,927",,"89,302",,"87,613",
Adj R2,0.36,,0.64,,0.51,,0.67,
N,"4,383",,"4,383",,"4,383",,"4,383",
Residual SE,"7,353",,"5,478",,"6,420",,"5,289",
